Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01016990,Brighton and Hove 016B,1,Household is not deprived in any dimension,413
E01016990,Brighton and Hove 016B,2,Household is deprived in one dimension,220
E01016990,Brighton and Hove 016B,3,Household is deprived in two dimensions,95
E01016990,Brighton and Hove 016B,4,Household is deprived in three dimensions,32
E01016990,Brighton and Hove 016B,5,Household is deprived in four dimensions,1
E01016991,Brighton and Hove 016C,-8,Does not apply,0
E01016991,Brighton and Hove 016C,1,Household is not deprived in any dimension,437
E01016991,Brighton and Hove 016C,2,Household is deprived in one dimension,230
E01016991,Brighton and Hove 016C,3,Household is deprived in two dimensions,82
E01016991,Brighton and Hove 016C,4,Household is deprived in three dimensions,18
E01016991,Brighton and Hove 016C,5,Household is deprived in four dimensions,4
E01016992,Brighton and Hove 021C,-8,Does not apply,0
E01016992,Brighton and Hove 021C,1,Household is not deprived in any dimension,412
E01016992,Brighton and Hove 021C,2,Household is deprived in one dimension,221
E01016992,Brighton and Hove 021C,3,Household is deprived in two dimensions,59
E01016992,Brighton and Hove 021C,4,Household is deprived in three dimensions,7
E01016992,Brighton and Hove 021C,5,Household is deprived in four dimensions,0
E01016993,Brighton and Hove 023C,-8,Does not apply,0
E01016993,Brighton and Hove 023C,1,Household is not deprived in any dimension,239
E01016993,Brighton and Hove 023C,2,Household is deprived in one dimension,254
E01016993,Brighton and Hove 023C,3,Household is deprived in two dimensions,178
E01016993,Brighton and Hove 023C,4,Household is deprived in three dimensions,71
E01016993,Brighton and Hove 023C,5,Household is deprived in four dimensions,5
E01016994,Brighton and Hove 021D,-8,Does not apply,0
E01016994,Brighton and Hove 021D,1,Household is not deprived in any dimension,413
E01016994,Brighton and Hove 021D,2,Household is deprived in one dimension,236
E01016994,Brighton and Hove 021D,3,Household is deprived in two dimensions,79
E01016994,Brighton and Hove 021D,4,Household is deprived in three dimensions,20
E01016994,Brighton and Hove 021D,5,Household is deprived in four dimensions,4
E01016995,Brighton and Hove 023D,-8,Does not apply,0
E01016995,Brighton and Hove 023D,1,Household is not deprived in any dimension,373
E01016995,Brighton and Hove 023D,2,Household is deprived in one dimension,192
E01016995,Brighton and Hove 023D,3,Household is deprived in two dimensions,57
E01016995,Brighton and Hove 023D,4,Household is deprived in three dimensions,11
E01016995,Brighton and Hove 023D,5,Household is deprived in four dimensions,0
E01016996,Brighton and Hove 016D,-8,Does not apply,0
E01016996,Brighton and Hove 016D,1,Household is not deprived in any dimension,480
E01016996,Brighton and Hove 016D,2,Household is deprived in one dimension,188
E01016996,Brighton and Hove 016D,3,Household is deprived in two dimensions,64
E01016996,Brighton and Hove 016D,4,Household is deprived in three dimensions,16
E01016996,Brighton and Hove 016D,5,Household is deprived in four dimensions,1
E01016997,Brighton and Hove 021E,-8,Does not apply,0
E01016997,Brighton and Hove 021E,1,Household is not deprived in any dimension,386
E01016997,Brighton and Hove 021E,2,Household is deprived in one dimension,206
E01016997,Brighton and Hove 021E,3,Household is deprived in two dimensions,66
E01016997,Brighton and Hove 021E,4,Household is deprived in three dimensions,4
E01016997,Brighton and Hove 021E,5,Household is deprived in four dimensions,0
E01016998,Brighton and Hove 003C,-8,Does not apply,0
E01016998,Brighton and Hove 003C,1,Household is not deprived in any dimension,361
E01016998,Brighton and Hove 003C,2,Household is deprived in one dimension,182
E01016998,Brighton and Hove 003C,3,Household is deprived in two dimensions,38
E01016998,Brighton and Hove 003C,4,Household is deprived in three dimensions,2
E01016998,Brighton and Hove 003C,5,Household is deprived in four dimensions,0
E01016999,Brighton and Hove 003D,-8,Does not apply,0
E01016999,Brighton and Hove 003D,1,Household is not deprived in any dimension,367
E01016999,Brighton and Hove 003D,2,Household is deprived in one dimension,172
E01016999,Brighton and Hove 003D,3,Household is deprived in two dimensions,55
E01016999,Brighton and Hove 003D,4,Household is deprived in three dimensions,5
E01016999,Brighton and Hove 003D,5,Household is deprived in four dimensions,0
E01017000,Brighton and Hove 003E,-8,Does not apply,0
E01017000,Brighton and Hove 003E,1,Household is not deprived in any dimension,444
E01017000,Brighton and Hove 003E,2,Household is deprived in one dimension,289
E01017000,Brighton and Hove 003E,3,Household is deprived in two dimensions,102
E01017000,Brighton and Hove 003E,4,Household is deprived in three dimensions,18
E01017000,Brighton and Hove 003E,5,Household is deprived in four dimensions,0
E01017001,Brighton and Hove 004C,-8,Does not apply,0
E01017001,Brighton and Hove 004C,1,Household is not deprived in any dimension,355
E01017001,Brighton and Hove 004C,2,Household is deprived in one dimension,182
E01017001,Brighton and Hove 004C,3,Household is deprived in two dimensions,49
E01017001,Brighton and Hove 004C,4,Household is deprived in three dimensions,8
E01017001,Brighton and Hove 004C,5,Household is deprived in four dimensions,1
E01017002,Brighton and Hove 011B,-8,Does not apply,0
E01017002,Brighton and Hove 011B,1,Household is not deprived in any dimension,437
E01017002,Brighton and Hove 011B,2,Household is deprived in one dimension,243
E01017002,Brighton and Hove 011B,3,Household is deprived in two dimensions,60
E01017002,Brighton and Hove 011B,4,Household is deprived in three dimensions,8
E01017002,Brighton and Hove 011B,5,Household is deprived in four dimensions,0
E01017003,Brighton and Hove 004D,-8,Does not apply,0
E01017003,Brighton and Hove 004D,1,Household is not deprived in any dimension,408
E01017003,Brighton and Hove 004D,2,Household is deprived in one dimension,206
E01017003,Brighton and Hove 004D,3,Household is deprived in two dimensions,61
E01017003,Brighton and Hove 004D,4,Household is deprived in three dimensions,16
E01017003,Brighton and Hove 004D,5,Household is deprived in four dimensions,0
E01017004,Brighton and Hove 011C,-8,Does not apply,0
E01017004,Brighton and Hove 011C,1,Household is not deprived in any dimension,416
E01017004,Brighton and Hove 011C,2,Household is deprived in one dimension,238
E01017004,Brighton and Hove 011C,3,Household is deprived in two dimensions,85
E01017004,Brighton and Hove 011C,4,Household is deprived in three dimensions,32
E01017004,Brighton and Hove 011C,5,Household is deprived in four dimensions,6
E01017005,Brighton and Hove 011D,-8,Does not apply,0
E01017005,Brighton and Hove 011D,1,Household is not deprived in any dimension,443
E01017005,Brighton and Hove 011D,2,Household is deprived in one dimension,193
E01017005,Brighton and Hove 011D,3,Household is deprived in two dimensions,59
E01017005,Brighton and Hove 011D,4,Household is deprived in three dimensions,10
E01017005,Brighton and Hove 011D,5,Household is deprived in four dimensions,1
E01017006,Brighton and Hove 011E,-8,Does not apply,0
E01017006,Brighton and Hove 011E,1,Household is not deprived in any dimension,481
E01017006,Brighton and Hove 011E,2,Household is deprived in one dimension,219
E01017006,Brighton and Hove 011E,3,Household is deprived in two dimensions,53
E01017006,Brighton and Hove 011E,4,Household is deprived in three dimensions,12
E01017006,Brighton and Hove 011E,5,Household is deprived in four dimensions,1
E01017007,Brighton and Hove 017A,-8,Does not apply,0
E01017007,Brighton and Hove 017A,1,Household is not deprived in any dimension,222
E01017007,Brighton and Hove 017A,2,Household is deprived in one dimension,241
E01017007,Brighton and Hove 017A,3,Household is deprived in two dimensions,141
E01017007,Brighton and Hove 017A,4,Household is deprived in three dimensions,41
E01017007,Brighton and Hove 017A,5,Household is deprived in four dimensions,7
E01017008,Brighton and Hove 017B,-8,Does not apply,0
E01017008,Brighton and Hove 017B,1,Household is not deprived in any dimension,318
E01017008,Brighton and Hove 017B,2,Household is deprived in one dimension,276
E01017008,Brighton and Hove 017B,3,Household is deprived in two dimensions,93
E01017008,Brighton and Hove 017B,4,Household is deprived in three dimensions,13
E01017008,Brighton and Hove 017B,5,Household is deprived in four dimensions,0
E01017009,Brighton and Hove 017C,-8,Does not apply,0
E01017009,Brighton and Hove 017C,1,Household is not deprived in any dimension,280
E01017009,Brighton and Hove 017C,2,Household is deprived in one dimension,222
E01017009,Brighton and Hove 017C,3,Household is deprived in two dimensions,94
E01017009,Brighton and Hove 017C,4,Household is deprived in three dimensions,19
E01017009,Brighton and Hove 017C,5,Household is deprived in four dimensions,0
E01017010,Brighton and Hove 017D,-8,Does not apply,0
E01017010,Brighton and Hove 017D,1,Household is not deprived in any dimension,338
E01017010,Brighton and Hove 017D,2,Household is deprived in one dimension,277
E01017010,Brighton and Hove 017D,3,Household is deprived in two dimensions,84
E01017010,Brighton and Hove 017D,4,Household is deprived in three dimensions,11
E01017010,Brighton and Hove 017D,5,Household is deprived in four dimensions,1
E01017011,Brighton and Hove 017E,-8,Does not apply,0
E01017011,Brighton and Hove 017E,1,Household is not deprived in any dimension,176
E01017011,Brighton and Hove 017E,2,Household is deprived in one dimension,193
E01017011,Brighton and Hove 017E,3,Household is deprived in two dimensions,120
E01017011,Brighton and Hove 017E,4,Household is deprived in three dimensions,32
E01017011,Brighton and Hove 017E,5,Household is deprived in four dimensions,4
E01017012,Brighton and Hove 017F,-8,Does not apply,0
E01017012,Brighton and Hove 017F,1,Household is not deprived in any dimension,325
E01017012,Brighton and Hove 017F,2,Household is deprived in one dimension,234
E01017012,Brighton and Hove 017F,3,Household is deprived in two dimensions,107
E01017012,Brighton and Hove 017F,4,Household is deprived in three dimensions,40
E01017012,Brighton and Hove 017F,5,Household is deprived in four dimensions,5
E01033328,Brighton and Hove 027F,-8,Does not apply,0
E01033328,Brighton and Hove 027F,1,Household is not deprived in any dimension,341
E01033328,Brighton and Hove 027F,2,Household is deprived in one dimension,218
E01033328,Brighton and Hove 027F,3,Household is deprived in two dimensions,89
E01033328,Brighton and Hove 027F,4,Household is deprived in three dimensions,31
E01033328,Brighton and Hove 027F,5,Household is deprived in four dimensions,0
E01033329,Brighton and Hove 027G,-8,Does not apply,0
E01033329,Brighton and Hove 027G,1,Household is not deprived in any dimension,424
E01033329,Brighton and Hove 027G,2,Household is deprived in one dimension,258
E01033329,Brighton and Hove 027G,3,Household is deprived in two dimensions,139
E01033329,Brighton and Hove 027G,4,Household is deprived in three dimensions,28
E01033329,Brighton and Hove 027G,5,Household is deprived in four dimensions,1
