Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01016879,Brighton and Hove 013A,3,Household is deprived in two dimensions,89
E01016879,Brighton and Hove 013A,4,Household is deprived in three dimensions,15
E01016879,Brighton and Hove 013A,5,Household is deprived in four dimensions,0
E01016880,Brighton and Hove 013B,-8,Does not apply,0
E01016880,Brighton and Hove 013B,1,Household is not deprived in any dimension,138
E01016880,Brighton and Hove 013B,2,Household is deprived in one dimension,161
E01016880,Brighton and Hove 013B,3,Household is deprived in two dimensions,136
E01016880,Brighton and Hove 013B,4,Household is deprived in three dimensions,52
E01016880,Brighton and Hove 013B,5,Household is deprived in four dimensions,2
E01016881,Brighton and Hove 013C,-8,Does not apply,0
E01016881,Brighton and Hove 013C,1,Household is not deprived in any dimension,251
E01016881,Brighton and Hove 013C,2,Household is deprived in one dimension,200
E01016881,Brighton and Hove 013C,3,Household is deprived in two dimensions,128
E01016881,Brighton and Hove 013C,4,Household is deprived in three dimensions,32
E01016881,Brighton and Hove 013C,5,Household is deprived in four dimensions,4
E01016882,Brighton and Hove 006A,-8,Does not apply,0
E01016882,Brighton and Hove 006A,1,Household is not deprived in any dimension,247
E01016882,Brighton and Hove 006A,2,Household is deprived in one dimension,213
E01016882,Brighton and Hove 006A,3,Household is deprived in two dimensions,121
E01016882,Brighton and Hove 006A,4,Household is deprived in three dimensions,40
E01016882,Brighton and Hove 006A,5,Household is deprived in four dimensions,3
E01016883,Brighton and Hove 006B,-8,Does not apply,0
E01016883,Brighton and Hove 006B,1,Household is not deprived in any dimension,326
E01016883,Brighton and Hove 006B,2,Household is deprived in one dimension,228
E01016883,Brighton and Hove 006B,3,Household is deprived in two dimensions,85
E01016883,Brighton and Hove 006B,4,Household is deprived in three dimensions,11
E01016883,Brighton and Hove 006B,5,Household is deprived in four dimensions,0
E01016884,Brighton and Hove 006C,-8,Does not apply,0
E01016884,Brighton and Hove 006C,1,Household is not deprived in any dimension,283
E01016884,Brighton and Hove 006C,2,Household is deprived in one dimension,215
E01016884,Brighton and Hove 006C,3,Household is deprived in two dimensions,101
E01016884,Brighton and Hove 006C,4,Household is deprived in three dimensions,25
E01016884,Brighton and Hove 006C,5,Household is deprived in four dimensions,3
E01016885,Brighton and Hove 006D,-8,Does not apply,0
E01016885,Brighton and Hove 006D,1,Household is not deprived in any dimension,182
E01016885,Brighton and Hove 006D,2,Household is deprived in one dimension,195
E01016885,Brighton and Hove 006D,3,Household is deprived in two dimensions,157
E01016885,Brighton and Hove 006D,4,Household is deprived in three dimensions,73
E01016885,Brighton and Hove 006D,5,Household is deprived in four dimensions,3
E01016886,Brighton and Hove 006E,-8,Does not apply,0
E01016886,Brighton and Hove 006E,1,Household is not deprived in any dimension,293
E01016886,Brighton and Hove 006E,2,Household is deprived in one dimension,202
E01016886,Brighton and Hove 006E,3,Household is deprived in two dimensions,93
E01016886,Brighton and Hove 006E,4,Household is deprived in three dimensions,31
E01016886,Brighton and Hove 006E,5,Household is deprived in four dimensions,1
E01016887,Brighton and Hove 013D,-8,Does not apply,0
E01016887,Brighton and Hove 013D,1,Household is not deprived in any dimension,293
E01016887,Brighton and Hove 013D,2,Household is deprived in one dimension,230
E01016887,Brighton and Hove 013D,3,Household is deprived in two dimensions,67
E01016887,Brighton and Hove 013D,4,Household is deprived in three dimensions,18
E01016887,Brighton and Hove 013D,5,Household is deprived in four dimensions,0
E01016888,Brighton and Hove 013E,-8,Does not apply,0
E01016888,Brighton and Hove 013E,1,Household is not deprived in any dimension,321
E01016888,Brighton and Hove 013E,2,Household is deprived in one dimension,196
E01016888,Brighton and Hove 013E,3,Household is deprived in two dimensions,54
E01016888,Brighton and Hove 013E,4,Household is deprived in three dimensions,5
E01016888,Brighton and Hove 013E,5,Household is deprived in four dimensions,0
E01016889,Brighton and Hove 022A,-8,Does not apply,0
E01016889,Brighton and Hove 022A,1,Household is not deprived in any dimension,370
E01016889,Brighton and Hove 022A,2,Household is deprived in one dimension,241
E01016889,Brighton and Hove 022A,3,Household is deprived in two dimensions,97
E01016889,Brighton and Hove 022A,4,Household is deprived in three dimensions,22
E01016889,Brighton and Hove 022A,5,Household is deprived in four dimensions,3
E01016890,Brighton and Hove 015A,-8,Does not apply,0
E01016890,Brighton and Hove 015A,1,Household is not deprived in any dimension,345
E01016890,Brighton and Hove 015A,2,Household is deprived in one dimension,315
E01016890,Brighton and Hove 015A,3,Household is deprived in two dimensions,136
E01016890,Brighton and Hove 015A,4,Household is deprived in three dimensions,36
E01016890,Brighton and Hove 015A,5,Household is deprived in four dimensions,5
E01016891,Brighton and Hove 022B,-8,Does not apply,0
E01016891,Brighton and Hove 022B,1,Household is not deprived in any dimension,334
E01016891,Brighton and Hove 022B,2,Household is deprived in one dimension,302
E01016891,Brighton and Hove 022B,3,Household is deprived in two dimensions,143
E01016891,Brighton and Hove 022B,4,Household is deprived in three dimensions,51
E01016891,Brighton and Hove 022B,5,Household is deprived in four dimensions,3
E01016892,Brighton and Hove 018A,-8,Does not apply,0
E01016892,Brighton and Hove 018A,1,Household is not deprived in any dimension,331
E01016892,Brighton and Hove 018A,2,Household is deprived in one dimension,195
E01016892,Brighton and Hove 018A,3,Household is deprived in two dimensions,85
E01016892,Brighton and Hove 018A,4,Household is deprived in three dimensions,10
E01016892,Brighton and Hove 018A,5,Household is deprived in four dimensions,0
E01016893,Brighton and Hove 018B,-8,Does not apply,0
E01016893,Brighton and Hove 018B,1,Household is not deprived in any dimension,453
E01016893,Brighton and Hove 018B,2,Household is deprived in one dimension,217
E01016893,Brighton and Hove 018B,3,Household is deprived in two dimensions,79
E01016893,Brighton and Hove 018B,4,Household is deprived in three dimensions,11
E01016893,Brighton and Hove 018B,5,Household is deprived in four dimensions,0
E01016894,Brighton and Hove 022C,-8,Does not apply,0
E01016894,Brighton and Hove 022C,1,Household is not deprived in any dimension,350
E01016894,Brighton and Hove 022C,2,Household is deprived in one dimension,221
E01016894,Brighton and Hove 022C,3,Household is deprived in two dimensions,118
E01016894,Brighton and Hove 022C,4,Household is deprived in three dimensions,21
E01016894,Brighton and Hove 022C,5,Household is deprived in four dimensions,5
E01016895,Brighton and Hove 025F,-8,Does not apply,0
E01016895,Brighton and Hove 025F,1,Household is not deprived in any dimension,210
E01016895,Brighton and Hove 025F,2,Household is deprived in one dimension,210
E01016895,Brighton and Hove 025F,3,Household is deprived in two dimensions,144
E01016895,Brighton and Hove 025F,4,Household is deprived in three dimensions,54
E01016895,Brighton and Hove 025F,5,Household is deprived in four dimensions,5
E01016896,Brighton and Hove 022D,-8,Does not apply,0
E01016896,Brighton and Hove 022D,1,Household is not deprived in any dimension,409
E01016896,Brighton and Hove 022D,2,Household is deprived in one dimension,198
E01016896,Brighton and Hove 022D,3,Household is deprived in two dimensions,73
E01016896,Brighton and Hove 022D,4,Household is deprived in three dimensions,15
E01016896,Brighton and Hove 022D,5,Household is deprived in four dimensions,2
E01016897,Brighton and Hove 022E,-8,Does not apply,0
E01016897,Brighton and Hove 022E,1,Household is not deprived in any dimension,391
E01016897,Brighton and Hove 022E,2,Household is deprived in one dimension,232
E01016897,Brighton and Hove 022E,3,Household is deprived in two dimensions,101
E01016897,Brighton and Hove 022E,4,Household is deprived in three dimensions,22
E01016897,Brighton and Hove 022E,5,Household is deprived in four dimensions,2
E01016898,Brighton and Hove 002A,-8,Does not apply,0
E01016898,Brighton and Hove 002A,1,Household is not deprived in any dimension,264
E01016898,Brighton and Hove 002A,2,Household is deprived in one dimension,277
E01016898,Brighton and Hove 002A,3,Household is deprived in two dimensions,152
E01016898,Brighton and Hove 002A,4,Household is deprived in three dimensions,33
E01016898,Brighton and Hove 002A,5,Household is deprived in four dimensions,5
E01016899,Brighton and Hove 002B,-8,Does not apply,0
E01016899,Brighton and Hove 002B,1,Household is not deprived in any dimension,162
E01016899,Brighton and Hove 002B,2,Household is deprived in one dimension,143
E01016899,Brighton and Hove 002B,3,Household is deprived in two dimensions,76
E01016899,Brighton and Hove 002B,4,Household is deprived in three dimensions,23
E01016899,Brighton and Hove 002B,5,Household is deprived in four dimensions,4
E01016900,Brighton and Hove 008A,-8,Does not apply,0
E01016900,Brighton and Hove 008A,1,Household is not deprived in any dimension,195
E01016900,Brighton and Hove 008A,2,Household is deprived in one dimension,247
E01016900,Brighton and Hove 008A,3,Household is deprived in two dimensions,193
E01016900,Brighton and Hove 008A,4,Household is deprived in three dimensions,101
E01016900,Brighton and Hove 008A,5,Household is deprived in four dimensions,7
E01016901,Brighton and Hove 010A,-8,Does not apply,0
E01016901,Brighton and Hove 010A,1,Household is not deprived in any dimension,339
E01016901,Brighton and Hove 010A,2,Household is deprived in one dimension,195
E01016901,Brighton and Hove 010A,3,Household is deprived in two dimensions,59
E01016901,Brighton and Hove 010A,4,Household is deprived in three dimensions,9
E01016901,Brighton and Hove 010A,5,Household is deprived in four dimensions,0
E01016902,Brighton and Hove 008B,-8,Does not apply,0
E01016902,Brighton and Hove 008B,1,Household is not deprived in any dimension,264
E01016902,Brighton and Hove 008B,2,Household is deprived in one dimension,210
E01016902,Brighton and Hove 008B,3,Household is deprived in two dimensions,88
E01016902,Brighton and Hove 008B,4,Household is deprived in three dimensions,30
E01016902,Brighton and Hove 008B,5,Household is deprived in four dimensions,2
E01016903,Brighton and Hove 010B,-8,Does not apply,0
